target,o2_1,o2_2,nh4_1,nh4_2,no2_1,no2_2,no3_1,no3_2,bod5_1,bod5_2
8.1,7.7,7.1,0.13,0.16,0.12,0.06,5.3,7.5,1.7,1.7
19.1,15.1,13.3,0.09,0.07,0.05,0.14,0.3,1.0,8.0,8.6
7.0,6.55,8.55,0.27,0.395,0.29,0.055,3.2,3.25,5.55,4.9
7.65,7.35,8.1,0.36,0.435,0.03,0.04,5.1,5.75,4.55,4.25
7.4,8.7,7.95,0.49,0.4,0.06,0.04,1.5,1.5,5.1,4.35
9.65,9.65,9.6,1.4,0.5499999999999999,0.065,0.07,3.85,5.8,5.65,5.05
5.6,5.9,9.0,0.47,0.38,0.21,0.07,0.3,0.9,6.1,7.3
7.4,8.1,6.5,0.92,0.42,0.11,0.03,9.0,5.8,4.3,5.5
8.05,8.05,8.65,0.7,0.825,0.105,0.115,1.05,1.15,4.800000000000002,4.97
11.12,11.375,11.5,0.3575,0.37,0.1025,0.09,3.6,3.1,6.025,5.7
12.3,13.3,14.7,1.12,1.71,0.44,0.19,7.7,6.9,1.9,2.6
9.4,8.7,6.6,0.76,0.98,0.17,0.16,1.2,1.7,4.7,3.3
5.9,5.6,9.0,0.27,0.26,0.01,0.03,1.9,1.9,5.3,4.8
8.4,10.8,11.9,0.14,0.34,0.1,0.08,4.8,4.2,4.2,6.3
8.67,7.933333333333334,8.933333333333332,0.4466666666666667,0.4833333333333333,0.0666666666666666,0.0333333333333333,2.533333333333333,2.766666666666667,4.5,6.033333333333334
10.1,12.1,12.5,0.16,0.13,0.11,0.09,4.8,5.4,5.9,6.9
9.1,9.8,11.2,0.23,0.28,0.14,0.2,3.2,3.7,5.1,5.9
8.1,6.05,6.1000000000000005,0.72,0.725,0.15,0.065,1.05,1.15,8.75,6.95
5.5,6.1,6.7,0.24,0.26,0.18,0.18,3.6,4.0,6.6,6.8
3.0,4.2,3.6,0.99,0.82,0.02,0.027,3.2,2.0,7.2,8.6
6.1,8.6,9.0,0.5,0.2,0.16,0.1,6.1,5.7,1.8,2.1
7.89,7.88,7.25,0.24,0.22,0.036,0.02,1.8,1.8,2.8,4.0
7.5,4.7,5.04,0.31,0.28,0.031,0.021,0.83,0.09,3.12,1.84
5.7,3.2,5.6,0.41,0.2,0.03,0.025,4.2,1.99,2.84,3.16
5.0,6.6,6.0,0.5,0.72,0.027,0.029,0.22,0.46,3.87,1.58
8.6,7.3,8.3,0.58,0.595,0.034,0.0455,2.495,2.345,7.65,6.6
6.9,6.9,5.7,0.18,0.05,0.053,1.94,1.74,5.7,3.46,1.98
9.27,7.3,6.25,0.34,0.355,0.0585,0.0345,0.95,1.6150000000000002,3.54,6.449999999999998
8.6,9.2,8.6,0.36,0.88,0.13,0.11,9.6,8.2,1.4,2.4
8.55,9.1,9.75,0.225,0.36,0.034,0.115,5.029999999999999,6.46,2.27,2.94
8.65,11.1,10.5,0.09,0.91,0.059,0.101,8.37,6.83,0.9,1.2
11.2,9.9,7.3,0.209,0.031,0.024,0.92,0.59,7.3,7.6,6.4
